ID;Target
ID00001;1
ID00002;0
ID00003;0
ID00004;0
ID00005;1
ID00006;1
ID00007;0
ID00008;0
ID00009;0
ID00010;0
ID00011;0
ID00012;0
ID00013;0
ID00014;0
ID00015;1
ID00016;0
ID00017;0
ID00018;0
ID00019;0
ID00020;0
ID00021;0
ID00022;0
ID00023;0
ID00024;0
ID00025;1
ID00026;0
ID00027;1
ID00028;1
ID00029;0
ID00030;0
ID00031;1
ID00032;0
ID00033;1
ID00034;1
ID00035;1
ID00036;0
ID00037;1
ID00038;0
ID00039;0
ID00040;1
ID00041;0
ID00042;1
ID00043;0
ID00044;0
ID00045;0
ID00046;0
ID00047;0
ID00048;0
ID00049;1
ID00050;0
ID00051;0
ID00052;0
ID00053;1
ID00054;1
ID00055;1
ID00056;0
ID00057;0
ID00058;0
ID00059;1
ID00060;1
ID00061;0
ID00062;1
ID00063;0
ID00064;0
ID00065;1
ID00066;1
ID00067;1
ID00068;0
ID00069;0
ID00070;1
ID00071;0
ID00072;1
ID00073;0
ID00074;1
ID00075;0
ID00076;0
ID00077;1
ID00078;0
ID00079;0
ID00080;0
ID00081;0
ID00082;0
ID00083;0
ID00084;0
ID00085;0
ID00086;0
ID00087;0
ID00088;1
ID00089;1
ID00090;1
ID00091;0
ID00092;0
ID00093;1
ID00094;0
ID00095;0
ID00096;0
ID00097;0
ID00098;0
ID00099;1
ID00100;1
ID00101;1
ID00102;1
ID00103;0
ID00104;1
ID00105;1
ID00106;1
ID00107;0
ID00108;1
ID00109;0
ID00110;0
ID00111;0
ID00112;0
ID00113;1
ID00114;1
ID00115;1
ID00116;0
ID00117;0
ID00118;0
ID00119;0
ID00120;1
ID00121;0
ID00122;0
ID00123;1
ID00124;1
ID00125;0
ID00126;0
ID00127;0
ID00128;0
ID00129;0
ID00130;0
ID00131;0
ID00132;1
ID00133;0
ID00134;0
ID00135;0
ID00136;0
ID00137;0
ID00138;0
ID00139;1
ID00140;0
ID00141;0
ID00142;0
ID00143;1
ID00144;0
ID00145;0
ID00146;0
ID00147;0
ID00148;0
ID00149;0
ID00150;0
ID00151;1
ID00152;0
ID00153;1
ID00154;0
ID00155;1
ID00156;1
ID00157;0
ID00158;0
ID00159;0
ID00160;0
ID00161;0
ID00162;1
ID00163;0
ID00164;0
ID00165;1
ID00166;0
ID00167;0
ID00168;1
ID00169;0
ID00170;1
ID00171;0
ID00172;1
ID00173;0
ID00174;0
ID00175;0
ID00176;1
ID00177;1
ID00178;1
ID00179;0
ID00180;0
ID00181;0
ID00182;0
ID00183;0
ID00184;0
ID00185;1
ID00186;0
ID00187;0
ID00188;0
ID00189;1
ID00190;0
ID00191;1
ID00192;0
ID00193;1
ID00194;1
ID00195;0
ID00196;0
ID00197;0
ID00198;0
ID00199;0
ID00200;0
ID00201;0
ID00202;1
ID00203;1
ID00204;0
ID00205;0
ID00206;0
ID00207;0
ID00208;0
ID00209;1
ID00210;1
ID00211;0
ID00212;0
ID00213;1
ID00214;0
ID00215;0
ID00216;0
ID00217;0
ID00218;0
ID00219;1
ID00220;1
ID00221;0
ID00222;0
ID00223;1
ID00224;1
ID00225;0
ID00226;0
ID00227;1
ID00228;1
ID00229;0
ID00230;0
ID00231;0
ID00232;0
ID00233;0
ID00234;1
ID00235;1
ID00236;0
ID00237;1
ID00238;1
ID00239;0
ID00240;1
ID00241;0
ID00242;1
ID00243;1
ID00244;1
ID00245;0
ID00246;0
ID00247;0
ID00248;1
ID00249;1
ID00250;0
ID00251;0
ID00252;1
ID00253;0
ID00254;0
ID00255;0
ID00256;0
ID00257;0
ID00258;1
ID00259;0
ID00260;0
ID00261;0
ID00262;0
ID00263;1
ID00264;0
ID00265;0
ID00266;0
ID00267;0
ID00268;0
ID00269;0
ID00270;1
ID00271;0
ID00272;1
ID00273;1
ID00274;1
ID00275;1
ID00276;0
ID00277;0
ID00278;1
ID00279;1
ID00280;0
ID00281;0
ID00282;1
ID00283;1
ID00284;1
ID00285;1
ID00286;0
ID00287;1
ID00288;0
ID00289;0
ID00290;1
ID00291;0
ID00292;1
ID00293;1
ID00294;0
ID00295;0
ID00296;0
ID00297;0
ID00298;1
ID00299;0
ID00300;0
ID00301;0
ID00302;0
ID00303;0
ID00304;1
ID00305;1
ID00306;1
ID00307;1
ID00308;0
ID00309;0
ID00310;1
ID00311;0
ID00312;0
ID00313;1
ID00314;0
ID00315;0
ID00316;0
ID00317;1
ID00318;0
ID00319;0
ID00320;0
ID00321;1
ID00322;0
ID00323;1
ID00324;0
ID00325;1
ID00326;1
ID00327;0
ID00328;0
ID00329;0
ID00330;1
ID00331;0
ID00332;1
ID00333;1
ID00334;0
ID00335;0
ID00336;0
ID00337;1
ID00338;0
ID00339;0
ID00340;1
ID00341;0
ID00342;1
ID00343;1
ID00344;0
ID00345;1
ID00346;1
ID00347;1
ID00348;0
ID00349;0
ID00350;0
ID00351;0
ID00352;1
ID00353;0
ID00354;1
ID00355;0
ID00356;0
ID00357;0
ID00358;1
ID00359;0
ID00360;0
ID00361;1
ID00362;1
ID00363;0
ID00364;0
ID00365;0
ID00366;0
ID00367;0
ID00368;1
ID00369;0
ID00370;0
ID00371;0
ID00372;0
ID00373;0
ID00374;1
ID00375;0
ID00376;0
ID00377;0
ID00378;1
ID00379;1
ID00380;0
ID00381;0
ID00382;0
ID00383;1
ID00384;0
ID00385;1
ID00386;1
ID00387;0
ID00388;0
ID00389;0
ID00390;0
ID00391;1
ID00392;1
ID00393;0
ID00394;0
ID00395;1
ID00396;0
ID00397;1
ID00398;0
ID00399;0
ID00400;0
ID00401;0
ID00402;0
ID00403;0
ID00404;0
ID00405;0
ID00406;0
ID00407;0
ID00408;0
ID00409;0
ID00410;0
ID00411;1
ID00412;1
ID00413;1
ID00414;0
ID00415;1
ID00416;1
ID00417;0
ID00418;1
ID00419;0
ID00420;1
ID00421;0
ID00422;1
ID00423;1
ID00424;0
ID00425;1
ID00426;1
ID00427;0
ID00428;0
ID00429;0
ID00430;1
ID00431;1
ID00432;0
ID00433;1
ID00434;0
ID00435;0
ID00436;1
ID00437;0
ID00438;0
ID00439;1
ID00440;0
ID00441;1
ID00442;1
ID00443;0
ID00444;0
ID00445;0
ID00446;0
ID00447;1
ID00448;1
ID00449;0
ID00450;1
ID00451;0
ID00452;0
ID00453;0
ID00454;1
ID00455;0
ID00456;0
ID00457;0
ID00458;0
ID00459;0
ID00460;0
ID00461;1
ID00462;0
ID00463;0
ID00464;0
ID00465;0
ID00466;1
ID00467;1
ID00468;1
ID00469;1
ID00470;0
ID00471;0
ID00472;0
ID00473;0
ID00474;1
ID00475;0
ID00476;0
ID00477;0
ID00478;1
ID00479;1
ID00480;1
ID00481;0
ID00482;0
ID00483;0
ID00484;0
ID00485;1
ID00486;0
ID00487;0
ID00488;1
ID00489;0
ID00490;0
ID00491;1
ID00492;1
ID00493;0
ID00494;1
ID00495;0
ID00496;0
ID00497;0
ID00498;0
ID00499;0
ID00500;1
ID00501;0
ID00502;0
ID00503;1
ID00504;0
ID00505;1
ID00506;1
ID00507;0
ID00508;0
ID00509;1
ID00510;1
ID00511;0
ID00512;0
ID00513;1
ID00514;0
ID00515;0
ID00516;1
ID00517;1
ID00518;1
ID00519;0
ID00520;0
ID00521;0
ID00522;0
ID00523;0
ID00524;1
ID00525;1
ID00526;0
ID00527;0
ID00528;0
ID00529;1
ID00530;0
ID00531;1
ID00532;1
ID00533;0
ID00534;1
ID00535;1
ID00536;1
ID00537;0
ID00538;0
ID00539;1
ID00540;1
ID00541;0
ID00542;0
ID00543;0
ID00544;1
ID00545;1
ID00546;1
ID00547;0
ID00548;0
ID00549;0
ID00550;0
ID00551;0
ID00552;0
ID00553;0
ID00554;0
ID00555;1
ID00556;0
ID00557;0
ID00558;1
ID00559;1
ID00560;1
ID00561;0
ID00562;0
ID00563;1
ID00564;1
ID00565;0
ID00566;1
ID00567;0
ID00568;0
ID00569;0
ID00570;0
ID00571;0
ID00572;0
ID00573;0
ID00574;0
ID00575;0
ID00576;1
ID00577;0
ID00578;0
ID00579;1
ID00580;0
ID00581;0
ID00582;0
ID00583;0
ID00584;0
ID00585;0
ID00586;0
ID00587;0
ID00588;0
ID00589;1
ID00590;0
ID00591;0
ID00592;1
ID00593;0
ID00594;1
ID00595;0
ID00596;1
ID00597;0
ID00598;1
ID00599;1
ID00600;0
ID00601;1
ID00602;1
ID00603;0
ID00604;1
ID00605;1
ID00606;0
ID00607;0
ID00608;0
ID00609;0
ID00610;0
ID00611;0
ID00612;0
ID00613;0
ID00614;0
ID00615;1
ID00616;0
ID00617;1
ID00618;0
ID00619;0
ID00620;0
ID00621;1
ID00622;0
ID00623;1
ID00624;0
ID00625;0
ID00626;0
ID00627;1
ID00628;1
ID00629;0
ID00630;1
ID00631;0
ID00632;0
ID00633;1
ID00634;1
ID00635;1
ID00636;0
ID00637;0
ID00638;1
ID00639;1
ID00640;0
ID00641;0
ID00642;0
ID00643;0
ID00644;1
ID00645;1
ID00646;0
ID00647;0
ID00648;0
ID00649;1
ID00650;0
ID00651;1
ID00652;0
ID00653;0
ID00654;1
ID00655;0
ID00656;1
ID00657;0
ID00658;0
ID00659;0
ID00660;0
ID00661;0
ID00662;0
ID00663;0
ID00664;1
ID00665;0
ID00666;0
ID00667;1
ID00668;0
ID00669;0
ID00670;1
ID00671;0
ID00672;0
ID00673;0
ID00674;0
ID00675;1
ID00676;1
ID00677;0
ID00678;0
ID00679;0
ID00680;0
ID00681;0
ID00682;0
ID00683;1
ID00684;0
ID00685;1
ID00686;1
ID00687;1
ID00688;1
ID00689;0
ID00690;0
ID00691;0
ID00692;0
ID00693;0
ID00694;0
ID00695;0
ID00696;1
ID00697;0
ID00698;0
ID00699;0
ID00700;0
ID00701;0
ID00702;0
ID00703;1
ID00704;0
ID00705;0
ID00706;0
ID00707;1
ID00708;0
ID00709;0
ID00710;0
ID00711;1
ID00712;0
ID00713;0
ID00714;0
ID00715;1
ID00716;0
ID00717;0
ID00718;0
ID00719;0
ID00720;0
ID00721;0
ID00722;1
ID00723;1
ID00724;1
ID00725;1
ID00726;1
ID00727;0
ID00728;0
ID00729;0
ID00730;0
ID00731;1
ID00732;0
ID00733;0
ID00734;0
ID00735;1
ID00736;1
ID00737;0
ID00738;1
ID00739;1
ID00740;0
ID00741;0
ID00742;1
ID00743;0
ID00744;0
ID00745;1
ID00746;1
ID00747;0
ID00748;0
ID00749;1
ID00750;1
ID00751;0
ID00752;0
ID00753;0
ID00754;0
ID00755;1
ID00756;0
ID00757;0
ID00758;1
ID00759;0
ID00760;1
ID00761;0
ID00762;0
ID00763;0
ID00764;0
ID00765;1
ID00766;0
ID00767;0
ID00768;0
ID00769;0
ID00770;0
ID00771;0
ID00772;0
ID00773;0
ID00774;0
ID00775;1
ID00776;0
ID00777;0
ID00778;1
ID00779;0
ID00780;1
ID00781;1
ID00782;1
ID00783;0
ID00784;0
ID00785;0
ID00786;1
ID00787;0
ID00788;0
ID00789;1
ID00790;0
ID00791;1
ID00792;0
ID00793;0
ID00794;0
ID00795;0
ID00796;1
ID00797;0
ID00798;0
ID00799;1
ID00800;1
ID00801;1
ID00802;0
ID00803;1
ID00804;0
ID00805;1
ID00806;0
ID00807;0
ID00808;0
ID00809;1
ID00810;0
ID00811;0
ID00812;1
ID00813;0
ID00814;1
ID00815;1
ID00816;1
ID00817;0
ID00818;0
ID00819;0
ID00820;0
ID00821;0
ID00822;0
ID00823;0
ID00824;0
ID00825;0
ID00826;0
ID00827;1
ID00828;0
ID00829;1
ID00830;0
ID00831;0
ID00832;1
ID00833;0
ID00834;0
ID00835;0
ID00836;0
ID00837;1
ID00838;0
ID00839;1
ID00840;0
ID00841;0
ID00842;0
ID00843;1
ID00844;0
ID00845;1
ID00846;1
ID00847;0
ID00848;1
ID00849;1
ID00850;0
ID00851;0
ID00852;0
ID00853;0
ID00854;0
ID00855;1
ID00856;1
ID00857;0
ID00858;0
ID00859;0
ID00860;1
ID00861;0
ID00862;0
ID00863;0
ID00864;0
ID00865;0
ID00866;1
ID00867;0
ID00868;0
ID00869;0
ID00870;0
ID00871;0
ID00872;0
ID00873;1
ID00874;0
ID00875;1
ID00876;0
ID00877;1
ID00878;1
ID00879;1
ID00880;1
ID00881;0
ID00882;1
ID00883;1
ID00884;0
ID00885;1
ID00886;0
ID00887;0
ID00888;0
ID00889;1
ID00890;0
ID00891;1
ID00892;0
ID00893;0
ID00894;1
ID00895;0
ID00896;1
ID00897;1
ID00898;1
ID00899;0
ID00900;0
ID00901;1
ID00902;0
ID00903;1
ID00904;0
ID00905;0
ID00906;1
ID00907;1
ID00908;0
ID00909;0
ID00910;0
ID00911;1
ID00912;1
ID00913;1
ID00914;0
ID00915;0
ID00916;1
ID00917;1
ID00918;1
ID00919;0
ID00920;0
ID00921;1
ID00922;0
ID00923;1
ID00924;0
ID00925;0
ID00926;0
ID00927;1
ID00928;0
ID00929;0
ID00930;1
ID00931;1
ID00932;0
ID00933;0
ID00934;1
ID00935;0
ID00936;1
ID00937;0
ID00938;0
ID00939;1
ID00940;0
ID00941;0
ID00942;1
ID00943;0
ID00944;0
ID00945;0
ID00946;1
ID00947;0
ID00948;1
ID00949;0
ID00950;1
ID00951;0
ID00952;0
ID00953;1
ID00954;1
ID00955;1
ID00956;0
ID00957;0
ID00958;0
ID00959;0
ID00960;0
ID00961;0
ID00962;1
ID00963;1
ID00964;0
ID00965;1
ID00966;0
ID00967;0
ID00968;0
ID00969;0
ID00970;1
ID00971;1
ID00972;1
ID00973;0
ID00974;1
ID00975;0
ID00976;0
ID00977;1
ID00978;0
ID00979;0
ID00980;0
ID00981;0
ID00982;0
ID00983;0
ID00984;0
ID00985;0
ID00986;1
ID00987;1
ID00988;0
ID00989;1
ID00990;0
ID00991;0
ID00992;1
ID00993;0
ID00994;0
ID00995;0
ID00996;0
ID00997;0
ID00998;1
